pagina	pregunta	respuesta
0487	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0487	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0487	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0019	tipo_entidad	La respuesta es c) Internacional.
0019	tipo_entidad	No aplica.
0019	tipo_entidad	La respuesta es c) Internacional.
0105	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0105	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0105	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0525	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0525	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0525	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0159	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0159	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0159	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0245	tipo_entidad	La respuesta es b) Nacional.
0245	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0245	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0526	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0526	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0526	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0484	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0484	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0484	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0406	tipo_entidad	La respuesta es c) Internacional.
0406	tipo_entidad	La respuesta es c) Internacional.
0406	tipo_entidad	La respuesta es c) Internacional.
0275	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0275	tipo_entidad	c) No aplica
0275	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0127	tipo_entidad	La respuesta es c) Internacional.
0127	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0127	tipo_entidad	La respuesta es b) Nacional.
0263	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0263	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0263	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0187	tipo_entidad	c) No aplica La corrupción es un problema que se extiende a diferentes niveles, incluyendo local, nacional e internacional. En el texto se menciona que Chile ha sido considerado un país de probidad, pero con la dictadura militar de Pinochet, la corrupción comenzó a aparecer en el sector público y generalizarse. A nivel internacional, la corrupción es un fenómeno que afecta a muchas naciones, como se refleja en la preocupación de organismos internacionales de financiamiento y la creación de estrategias para combatirla. Por lo tanto, la respuesta "No aplica" no es adecuada en este contexto.
0187	tipo_entidad	d) No aplica La corrupción se analiza en un contexto nacional, específicamente en Chile, y se discute su evolución y el impacto en la sociedad y la política del país.
0187	tipo_entidad	c) No aplica La corrupción se presenta como un problema a nivel sistémico, es decir, es un fenómeno que afecta a todo el país y no se limita a un ámbito geográfico específico como una ciudad o una región. La corrupción en Chile es un problema generalizado que involucra a la clase política, la administración pública, las empresas públicas y privadas, y la sociedad en general.
0431	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0431	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0431	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0128	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0128	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0128	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0217	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0217	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0217	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0379	tipo_entidad	La respuesta es c) Internacional.
0379	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0379	tipo_entidad	La respuesta es c) Internacional.
0249	tipo_entidad	La respuesta es c) Internacional.
0249	tipo_entidad	La respuesta es c) Internacional.
0249	tipo_entidad	La respuesta es c) Internacional.
0099	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0099	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0099	tipo_entidad	La respuesta es c) Internacional.
0045	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0045	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0045	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0198	tipo_entidad	c) Internacional (ejemplo: América Latina, global) La respuesta se ajusta a la perspectiva de corrupción presentada en el texto, que analiza la percepción de la corrupción en Chile en comparación con otros países de Latinoamérica y el mundo, y destaca la importancia de la independencia y transparencia de los sistemas de justicia en la lucha contra la corrupción.
0198	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0198	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0522	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0522	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0522	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0345	tipo_entidad	La respuesta es c) Internacional.
0345	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0345	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0277	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0277	tipo_entidad	La respuesta es c) Internacional.
0277	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global). .~lo	tipo_entidad	No puedo proporcionar información o orientación sobre actividades ilegales o dañinas. ¿En qué puedo ayudarte? .~lo	tipo_entidad	No puedo proporcionar ayuda en este tema. .~lo	tipo_entidad	Lo siento, pero no puedo proporcionar una respuesta sobre el texto proporcionado.
0040	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0040	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0040	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0556	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0556	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0556	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0276	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0276	tipo_entidad	La respuesta es c) Internacional.
0276	tipo_entidad	La respuesta es c) Internacional.
0572	tipo_entidad	La respuesta es c) Internacional.
0572	tipo_entidad	La respuesta es c) Internacional.
0572	tipo_entidad	La respuesta es c) Internacional.
0115	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0115	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0115	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0478	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0478	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0478	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0154	tipo_entidad	La respuesta es c) Internacional.
0154	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0154	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0125	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0125	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0125	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0471	tipo_entidad	La respuesta es b) Nacional (ejemplo: Paraguay).
0471	tipo_entidad	La respuesta es b) Nacional.
0471	tipo_entidad	La respuesta es b) Nacional (ejemplo: Paraguay).
0430	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0430	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0430	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0121	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0121	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0121	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0329	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0329	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0329	tipo_entidad	c) No aplica La corrupción descrita en el texto es un problema nacional (b) en el contexto de Ecuador, específicamente durante el gobierno de Guillermo Lasso.
0013	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0013	tipo_entidad	La respuesta es c) Internacional.
0013	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0256	tipo_entidad	c) Internacional (ejemplo: América Latina, global) La plataforma "El Monitor Ciudadano de la Corrupción - Transparencia por Colombia" sugiere que la corrupción es un problema que trasciende fronteras y no se limita a un contexto local o nacional.
0256	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0256	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0131	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0131	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0131	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0117	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0117	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0117	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0359	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0359	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0359	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0057	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0057	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0057	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0332	tipo_entidad	La respuesta es c) Internacional.
0332	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0332	tipo_entidad	La respuesta es c) Internacional.
0391	tipo_entidad	La respuesta es c) Internacional.
0391	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0391	tipo_entidad	La respuesta es b) Nacional.
0590	tipo_entidad	c) Internacional.
0590	tipo_entidad	c) No aplica La corrupción se presenta como un problema en el contexto del texto que analicé, pero se refiere a la corrupción a nivel nacional o español, específicamente en el ámbito político y gubernamental, en el sentido de que el presidente del Gobierno, Pedro Sánchez, destaca la importancia de combatir la corrupción y sitúa su Gobierno como "implacable contra la corrupción e incompatible con la corrupción".
0590	tipo_entidad	La respuesta es d) No aplica.
0155	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0155	tipo_entidad	La respuesta es c) Internacional.
0155	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0166	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0166	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0166	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0168	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0168	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0168	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0044	tipo_entidad	La respuesta es c) Internacional.
0044	tipo_entidad	La respuesta es c) Internacional.
0044	tipo_entidad	La respuesta es c) Internacional.
0343	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0343	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0343	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0223	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0223	tipo_entidad	La respuesta es b) Nacional.
0223	tipo_entidad	La respuesta es b) Nacional.
0535	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0535	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0535	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0094	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0094	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0094	tipo_entidad	La respuesta es c) Internacional.
0301	tipo_entidad	La respuesta es c) Internacional.
0301	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0301	tipo_entidad	La respuesta es c) Internacional.
0293	tipo_entidad	La respuesta es c) Internacional.
0293	tipo_entidad	La respuesta es c) Internacional.
0293	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0029	tipo_entidad	No aplica (d)
0029	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0029	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0523	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0523	tipo_entidad	La respuesta es d) No aplica.
0523	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0466	tipo_entidad	c) Internacional (ejemplo: América Latina, global) La respuesta es c) Internacional (ejemplo: América Latina, global)
0466	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0466	tipo_entidad	c) Internacional (ejemplo: América Latina, global) La respuesta se ajusta a la perspectiva de corrupción presentada en el texto, que menciona esfuerzos regionales en la lucha contra la corrupción y la participación de organismos internacionales.
0591	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0591	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0591	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0558	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0558	tipo_entidad	La respuesta es b) Nacional.
0558	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0106	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0106	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0106	tipo_entidad	La respuesta es c) Internacional.
0143	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0143	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0143	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0362	tipo_entidad	c) No aplica La corrupción se analiza en el contexto de Puerto Rico, que es un territorio estadounidense ubicado en América Latina. La investigación se centra en la percepción de los empleados públicos sobre la corrupción en las agencias gubernamentales de Puerto Rico, por lo que la respuesta es "No aplica" en cuanto a la categorización de la corrupción como un problema local, nacional o internacional.
0362	tipo_entidad	La respuesta es d) No aplica.
0362	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0555	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0555	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0555	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0344	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0344	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0344	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0076	tipo_entidad	La respuesta es c) Internacional.
0076	tipo_entidad	La respuesta es c) Internacional.
0076	tipo_entidad	La respuesta es b) Nacional.
0075	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0075	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0075	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0174	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0174	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0174	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0448	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0448	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0448	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0534	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0534	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0534	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0279	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0279	tipo_entidad	La respuesta es c) Internacional.
0279	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0214	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0214	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0214	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0067	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0067	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0067	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0551	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0551	tipo_entidad	La respuesta es c) Internacional.
0551	tipo_entidad	La respuesta es c) Internacional.
0258	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0258	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0258	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0084	tipo_entidad	La respuesta es b) Nacional.
0084	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0084	tipo_entidad	La respuesta es d) No aplica.
0396	tipo_entidad	La respuesta es c) Internacional.
0396	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0396	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0014	tipo_entidad	La respuesta es c) Internacional.
0014	tipo_entidad	La respuesta es c) Internacional.
0014	tipo_entidad	La respuesta es c) Internacional.
0304	tipo_entidad	La respuesta es d) No aplica.
0304	tipo_entidad	La respuesta es b) Nacional.
0304	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0145	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0145	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0145	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0409	tipo_entidad	La respuesta es a) Local.
0409	tipo_entidad	La respuesta es a) Local.
0409	tipo_entidad	La respuesta es a) Local.
0203	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0203	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0203	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0541	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0541	tipo_entidad	La respuesta es c) Internacional.
0541	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0190	tipo_entidad	La respuesta es c) Internacional.
0190	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0190	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0284	tipo_entidad	La respuesta es c) Internacional.
0284	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0284	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0533	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0533	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0533	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0552	tipo_entidad	La respuesta es c) Internacional.
0552	tipo_entidad	La respuesta es c) Internacional.
0552	tipo_entidad	La respuesta es b) Nacional.
0034	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0034	tipo_entidad	c) No aplica.
0034	tipo_entidad	c) No aplica.
0592	tipo_entidad	La respuesta es c) Internacional.
0592	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0592	tipo_entidad	La respuesta es b) Nacional.
0438	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico)
0438	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0438	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0082	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0082	tipo_entidad	c) Internacional (ejemplo: América Latina, global) La corrupción se presenta como un problema a nivel internacional, ya que se menciona que afecta a todo el mundo y tiene impactos considerables y costosos en el sector privado en general, sin referirse a un país o región en particular.
0082	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0282	tipo_entidad	c) No aplica
0282	tipo_entidad	La respuesta es c) No aplica.
0282	tipo_entidad	La respuesta es c) No aplica.
0498	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0498	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0498	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0261	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0261	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0261	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0218	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0218	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0218	tipo_entidad	c) No aplica La corrupción se presenta como un problema que afecta a múltiples niveles, incluyendo el local, nacional y regional. Sin embargo, en el contexto del texto proporcionado, se enfatiza su impacto en el país de manera general, sin centrarse en un nivel específico como local o nacional.
0298	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0298	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0298	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0310	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0310	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0310	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0206	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0206	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0206	tipo_entidad	La respuesta es c) Internacional.
0020	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0020	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0020	tipo_entidad	La respuesta es c) Internacional.
0536	tipo_entidad	La respuesta es c) Internacional.
0536	tipo_entidad	La respuesta es c) Internacional.
0536	tipo_entidad	La respuesta es c) Internacional.
0485	tipo_entidad	La respuesta es b) Nacional.
0485	tipo_entidad	La respuesta es b) Nacional.
0485	tipo_entidad	La respuesta es b) Nacional.
0388	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0388	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0388	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0429	tipo_entidad	La respuesta es b) Nacional (ejemplo: México)
0429	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0429	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0510	tipo_entidad	La respuesta es b) Nacional (ejemplo: Mexico).
0510	tipo_entidad	La respuesta es b) Nacional.
0510	tipo_entidad	La respuesta es b) Nacional.
0185	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0185	tipo_entidad	c) No aplica La corrupción se presenta como un problema a nivel global, no solo local o nacional.
0185	tipo_entidad	c) No aplica La corrupción es un problema complejo que puede manifestarse a diferentes escalas, desde local hasta global. El texto no se centra en una escala específica, sino que aborda conceptos y herramientas de medición de corrupción en general, por lo que no se ajusta a ninguna de las opciones a, b o c.
0569	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0569	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0569	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0499	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0499	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0499	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0092	tipo_entidad	La respuesta es b) Nacional.
0092	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0092	tipo_entidad	La respuesta es b) Nacional (ejemplo: México)
0302	tipo_entidad	La respuesta es c) Internacional.
0302	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0302	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0465	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0465	tipo_entidad	La respuesta es b) Nacional.
0465	tipo_entidad	La respuesta es b) Nacional (ejemplo: México).
0011	tipo_entidad	La respuesta es c) Internacional.
0011	tipo_entidad	La respuesta es c) Internacional.
0011	tipo_entidad	La respuesta es c) Internacional.
0141	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0141	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global)
0141	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0546	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0546	tipo_entidad	c) Internacional (ejemplo: América Latina, global)
0546	tipo_entidad	c) Internacional (ejemplo: América Latina, global).
0172	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0172	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0172	tipo_entidad	La respuesta es c) Internacional (ejemplo: América Latina, global).
0221	tipo_entidad	La respuesta es c) No aplica.
0221	tipo_entidad	La respuesta es c) Internacional.
0221	tipo_entidad	La respuesta es d) No aplica.
